MatrixSize,Threads,SequentialTime,ParallelTime,Speedup,Efficiency
1000,1,1.173000,1.051000,1.116,1.116
1000,2,1.173000,0.775000,1.514,0.757
1000,4,1.173000,0.377000,3.111,0.778
1000,8,1.173000,0.321000,3.654,0.457
1000,16,1.173000,0.251000,4.673,0.292
